103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
三峽區(第7選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
,,,,,,,
1880,三峽興隆宮,民權街５０號,三峽里,全里,,,
1881,三峽祖師廟會議室,長福街１號,秀川里,全里,,,
1882,八張市民活動中心,民族街１２２號,八張里,"5-7,11-16,20",,,
1883,基督長老教會,民族街１號,八張里,"1-4,8-10,17-19",,,
1884,中園國小（C112）,大同路２２２巷２２弄２號,中埔里,"1-7,10,11",,,
1885,中園國小（C113）,大同路２２２巷２２弄２號,中埔里,"8,9,12-15",,,
1886,弘道市民活動中心,弘道２５之１號,弘道里,全里,,,
1887,三峽國小2年1班,中山路１６號,永?里,1-7,,,
1888,三峽國小2年2班,中山路１６號,永?里,8-14,,,
1889,三峽國小1年1班,中山路１６號,永?里,15-1９,,,
1890,三峽國中補教教室一,復興路238號,永?里,"20,21,24",,變更,
1891,三峽國中補教教室二,復興路238號,永?里,"22,23,25",,變更,
1892,三峽國小1年2班,中山路１６號,鳶山里,1-5,,,
1893,三峽國小1年3班,中山路１６號,鳶山里,6-9,,,
1894,三峽國小1年4班,中山路１６號,鳶山里,"10-12,14",,,
1895,三峽國小幼兒園３０１（長青市民活動中心對面）,中山路１６號,鳶山里,"13,15-17",,,
1896,三峽國小幼兒園５０７（長青市民活動中心對面）,中山路１６號,鳶山里,"19,20,26-28",,,
1897,長青市民活動中心,中山路６５號,鳶山里,"18,21-25",,,
1898,龍埔市民活動中心,三樹路２１４巷９號,龍埔里,1-8,,,
1899,啟育幼稚園,民生街５９號,龍埔里,"9-12,20-22",,,
1900,啟育幼稚園,民生街５９號,龍埔里,13-19,,,
1901,啟育幼稚園,民生街５９號,龍埔里,23-28,,,
1902,三峽國中903教室,復興路２３８號,龍埔里,29-36,,,
1903,台北大學商學院1F04,大學路１５１號,龍恩里,2-11,,,
1904,台北大學商學院1F05,大學路１５１號,龍恩里,"12-19,21,22",,,
1905,台北大學商學院1F09,大學路１５１號,龍恩里,23-31,,,
1906,龍埔國小101,大學路６號,龍學里,1-8,,,
1907,龍埔國小103,大學路６號,龍學里,9-15,,,
1908,龍埔國小107,大學路６號,龍學里,"16-20,24",,,
1909,龍埔國小301,大學路６號,龍學里,"21-23,25-27",,,
1910,龍埔國小303,大學路６號,龍學里,28-33,,,
1911,龍埔國小英語1,大學路６號,龍學里,34-39,,,
1912,龍埔國小502,大學路６號,龍學里,"40-43,45",,新增,
1913,介壽國小1年1班教室,大同路１號,礁溪里,"1-6,9-14",,,
1914,安溪國小6年9班,中華路４２號,礁溪里,"7,8,15,17-25",,,
1915,安溪國小4年8班,中華路４２號,礁溪里,"16,26-37",,,
1916,安溪國小2年6班,中華路４２號,安溪里,1-10,,,
1917,安溪國小1年5班,中華路４２號,安溪里,11-19,,,
1918,安溪國小1年6班,中華路４２號,安溪里,20-29,,,
1919,安溪國小3年6班,中華路４２號,安溪里,30-38,,,
1920,安溪、礁溪、介壽、中正市民活動中心,永安街９巷５號,介壽里,"10,12-15,25,26",,,
1921,介壽國小1年級4班教室,大同路１號,介壽里,"1-9,16",,,
1922,介壽國小1年級5班教室,大同路１號,介壽里,"11,17-20",,,
1923,介壽國小1年級6班教室,大同路１號,介壽里,"21-24,27,28",,,
1924,安溪國中(中宇樓一樓教室第1間),大同路１３５號,中正里,1-12,,,
1925,安溪國中(中宇樓一樓教室第2間),大同路１３５號,中正里,13-22,,,
1926,安溪國中(中宇樓一樓教室第3間),大同路１３５號,中正里,23-34,,,
1927,大埔國小一忠教室,大埔路１３０號,大埔里,1-8,,,
1928,大埔國小二忠教室,大埔路１３０號,大埔里,9-16,,,
1929,大埔國小三忠教室,大埔路１３０號,大埔里,17-22,,,
1930,仁愛市民活動中心,嘉添３０號,嘉添里,"1-9,20,21",,,
1931,臺北榮家外廣場,白雞路１２７號,嘉添里,10-19,,變更,
1932,添福市民活動中心,添福５７之１號,添福里,全里,,,
1933,互助橋旁(綠竹香餐廳邊),圳頭1-1號,金圳里,全里,,變更,
1934,五寮市民活動中心,五寮８９之９號,五寮里,全里,,,
1935,插角國小,插角３９號,插角里,全里,,,
1936,有木國小,有木１３１號,有木里,全里,,,
1937,明德高中(擎藝樓一樓410教室),中正路二段３９９號,二鬮里,1-10,,,
1938,明德高中(擎藝樓一樓611教室),中正路二段３９９號,二鬮里,11-24,,,
1939,中興市民活動中心,介壽路二段１３６巷６３號,溪南里,全里,,,
1940,林絨(民宅),介壽路三段１８３號,溪北里,"1-4,17-20",,,
1941,溪北市民活動中心,溪北街８７號,溪北里,5-16,,,
1942,成福國小(視聽教室),溪東路２１３號,溪東里,1-9,,,
1943,溪東市民活動中心,溪東路２１８巷１號,溪東里,10-16,,,
1944,成福市民活動中心,成福路４４號,成福里,全里,,,
1945,竹崙市民活動中心,竹崙路１４６號,竹崙里,2-12,,,
1946,靈隱寺,紫微南路１１號,竹崙里,"1,13-18",,,
1947,建安國小,建安６７號,安坑里,全里,,,
